shipment_date,transit_wh_name,destination_wh_name,type,route,route 1,gmv,orders
2024-01-02,Новосибирск,Электросталь,box,Новосибирск -> Электросталь,Новосибирск - Электросталь,-0.9472974368852578,-0.9267447968007726
2024-01-02,Обухово,Краснодар (Тихорецкая),box,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),-1.2492117452802676,-2.39160844143221
2024-01-02,Обухово,Склад Казань,box,Обухово -> Склад Казань,Обухово - Склад Казань,-1.0932126404125786,-1.0021284494731688
2024-01-02,Обухово,Склад Казань,other,Обухово -> Склад Казань,Обухово - Склад Казань,-1.1889207519233511,-1.0866571053974603
2024-01-02,Подольск 4,Краснодар (Тихорецкая),box,Подольск 4 -> Краснодар (Тихорецкая),Подольск 4 - Краснодар (Тихорецкая),-1.8296653330892032,-1.8888738297455463
2024-01-02,Подольск 4,Невинномысск,box,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.9993866646263688,-0.9775938123246194
2024-01-03,Минск Щомыслицкий,Коледино,box,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.9723906348769696,-1.121374631574969
2024-01-03,Минск Щомыслицкий,Коледино,other,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-1.032650083125477,-1.398600210361703
2024-01-03,Обухово,Краснодар (Тихорецкая),box,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),-1.0508782561344572,-2.2215200700554183
2024-01-03,Обухово,Склад Казань,box,Обухово -> Склад Казань,Обухово - Склад Казань,-1.1628185396931403,-1.0359399118428854
2024-01-03,Подольск 4,Краснодар (Тихорецкая),box,Подольск 4 -> Краснодар (Тихорецкая),Подольск 4 - Краснодар (Тихорецкая),-1.7432025357506349,-1.843876835389512
2024-01-03,Подольск 4,Невинномысск,box,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.9865926934576568,-0.9473812000231964
2024-01-03,Тула,Невинномысск,box,Тула -> Невинномысск,Тула - Невинномысск,-0.9325793614371536,-0.8904755398140006
2024-01-04,Минск Щомыслицкий,Коледино,box,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.7313528418829397,-0.289697895214767
2024-01-04,Минск Щомыслицкий,Коледино,other,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.6108339453859248,-0.844149052788235
2024-01-04,Новосибирск,Электросталь,box,Новосибирск -> Электросталь,Новосибирск - Электросталь,-0.4265854333548591,-0.9267447968007726
2024-01-04,Обухово,Краснодар (Тихорецкая),box,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),-1.1004616284209097,-2.164823946263154
2024-01-04,Обухово,Склад Казань,box,Обухово -> Склад Казань,Обухово - Склад Казань,-0.927898629621244,-0.9006940623640192
2024-01-04,Обухово,Склад Казань,other,Обухово -> Склад Казань,Обухово - Склад Казань,-1.1541178022830705,-1.0359399118428854
2024-01-04,Подольск 4,Краснодар (Тихорецкая),box,Подольск 4 -> Краснодар (Тихорецкая),Подольск 4 - Краснодар (Тихорецкая),-1.378137391432234,-1.6188918636093383
2024-01-04,Подольск 4,Невинномысск,box,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.9737987222889448,-0.9473812000231964
2024-01-04,Подольск 4,Невинномысск,other,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.9737987222889448,-0.9775938123246194
2024-01-04,Тула,Невинномысск,box,Тула -> Невинномысск,Тула - Невинномысск,-0.9813322953978584,-0.9807125820798136
2024-01-05,Минск Щомыслицкий,Коледино,box,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.369796152391895,0.6343873674076796
2024-01-05,Минск Щомыслицкий,Коледино,other,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,0.0218902612234033,-0.3821064214770117
2024-01-05,Обухово,Краснодар (Тихорецкая),box,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),-0.6872668593671382,-1.1442937180024018
2024-01-05,Обухово,Склад Казань,box,Обухово -> Склад Казань,Обухово - Склад Казань,-0.3014455360961862,-0.325899202078838
2024-01-05,Обухово,Склад Казань,other,Обухово -> Склад Казань,Обухово - Склад Казань,-1.075811165592438,-1.0359399118428854
2024-01-05,Подольск 4,Краснодар (Тихорецкая),box,Подольск 4 -> Краснодар (Тихорецкая),Подольск 4 - Краснодар (Тихорецкая),-1.21481877423716,-1.018931938862209
2024-01-05,Подольск 4,Невинномысск,box,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.8202710682644015,-0.7056803016118113
2024-01-05,Тула,Невинномысск,box,Тула -> Невинномысск,Тула - Невинномысск,-0.9325793614371536,-0.9807125820798136
2024-01-06,Минск Щомыслицкий,Коледино,box,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.3396664282676413,0.1723447360964563
2024-01-06,Минск Щомыслицкий,Коледино,other,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.7916122901314472,-1.3061916840994583
2024-01-06,Новосибирск,Электросталь,box,Новосибирск -> Электросталь,Новосибирск - Электросталь,-0.8171194360026581,-0.9267447968007726
2024-01-06,Обухово,Краснодар (Тихорецкая),box,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),-0.9682393023237028,-1.597862708340514
2024-01-06,Обухово,Склад Казань,box,Обухово -> Склад Казань,Обухово - Склад Казань,-0.5015624965278018,-0.3089934708939797
2024-01-06,Обухово,Склад Казань,other,Обухово -> Склад Казань,Обухово - Склад Казань,-1.1019133778226489,-1.0359399118428854
2024-01-06,Подольск 4,Краснодар (Тихорецкая),box,Подольск 4 -> Краснодар (Тихорецкая),Подольск 4 - Краснодар (Тихорецкая),-1.2964780828346971,-1.3189119012357735
2024-01-06,Подольск 4,Невинномысск,box,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.717919298914706,-0.4941920155018495
2024-01-06,Тула,Невинномысск,box,Тула -> Невинномысск,Тула - Невинномысск,-0.9813322953978584,-0.9807125820798136
2024-01-07,Минск Щомыслицкий,Коледино,box,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-1.032650083125477,-1.2137831578372138
2024-01-07,Обухово,Краснодар (Тихорецкая),box,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),-1.0839338376587588,-1.767951079717306
2024-01-07,Обухово,Склад Казань,box,Обухово -> Склад Казань,Обухово - Склад Казань,-0.8669934677507523,-0.511862245112279
2024-01-07,Подольск 4,Краснодар (Тихорецкая),box,Подольск 4 -> Краснодар (Тихорецкая),Подольск 4 - Краснодар (Тихорецкая),-1.5030280986990552,-1.3339108993544515
2024-01-07,Подольск 4,Невинномысск,box,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.7563012124208418,-0.7963181385160807
2024-01-07,Подольск 4,Невинномысск,other,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.9993866646263688,-0.9775938123246194
2024-01-07,Тула,Невинномысск,box,Тула -> Невинномысск,Тула - Невинномысск,-0.8838264274764487,-0.8904755398140006
2024-01-08,Минск Щомыслицкий,Коледино,box,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.5204447730131637,0.0799362098342116
2024-01-08,Минск Щомыслицкий,Коледино,other,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.7313528418829397,-0.9365575790504798
2024-01-08,Новосибирск,Электросталь,box,Новосибирск -> Электросталь,Новосибирск - Электросталь,-0.9472974368852578,-0.9267447968007726
2024-01-08,Новосибирск,Электросталь,other,Новосибирск -> Электросталь,Новосибирск - Электросталь,-0.9472974368852578,-0.9267447968007726
2024-01-08,Обухово,Краснодар (Тихорецкая),box,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),-0.472405579459177,-1.0875975942101377
2024-01-08,Обухово,Склад Казань,box,Обухово -> Склад Казань,Обухово - Склад Казань,-0.2666425864559052,-0.0385017719362474
2024-01-08,Обухово,Склад Казань,other,Обухово -> Склад Казань,Обухово - Склад Казань,-1.1454170648730002,-1.069751374212602
2024-01-08,Подольск 4,Краснодар (Тихорецкая),box,Подольск 4 -> Краснодар (Тихорецкая),Подольск 4 - Краснодар (Тихорецкая),-1.0563036457831176,-0.9289379501501392
2024-01-08,Подольск 4,Невинномысск,box,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.6923313565772821,-0.4941920155018495
2024-01-08,Подольск 4,Невинномысск,other,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,-0.8586529817705374,-0.88695597542035
2024-01-08,Тула,Невинномысск,box,Тула -> Невинномысск,Тула - Невинномысск,-0.6400617576729245,-0.3490532862191223
2024-01-09,Минск Щомыслицкий,Коледино,box,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.2191475317706264,0.4495703148831903
2024-01-09,Минск Щомыслицкий,Коледино,other,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,-0.7313528418829397,-0.566923474001501
2024-01-09,Новосибирск,Электросталь,box,Новосибирск -> Электросталь,Новосибирск - Электросталь,-0.9472974368852578,-0.9267447968007726
2024-01-09,Новосибирск,Электросталь,other,Новосибирск -> Электросталь,Новосибирск - Электросталь,-0.8171194360026581,-0.9267447968007726
2024-01-09,Обухово,Краснодар (Тихорецкая),box,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),-0.7203224408914399,-0.9742053466256096
2024-01-09,Обухово,Склад Казань,box,Обухово -> Склад Казань,Обухово - Склад Казань,-0.0317226763840085,0.2488956582063432
2024-01-09,Обухово,Склад Казань,other,Обухово -> Склад Казань,Обухово - Склад Казань,-1.032307478542087,-0.9683169871034524
